1,Nowruz (Spring Equinox),"Tehran, Iran",March 21,"35.69° N, 51.38° E"
2,Janadriyah Festival,"Riyadh, Saudi Arabia",Feb (Post-Winter),"24.96° N, 46.79° E"
3,Al-Dhafra Camel Fest,"Madinat Zayed, UAE",January,"23.65° N, 53.70° E"
4,Eid al-Fitr (Celebration),"Regional (e.g. Cairo)",March 20–22,"30.04° N, 31.23° E"
5,Eid al-Adha (Sacrifice),"Mecca, Saudi Arabia",May 27–30,"21.42° N, 39.82° E"
6,Hajj Pilgrimage,"Mecca/Mina, Saudi Arabia",May 24–29,"21.42° N, 39.82° E"
7,Ashura (Ritual),"Karbala, Iraq",July 25,"32.61° N, 44.01° E"
8,Rose Harvest Ritual,"Al Jabal Al Akhdar, Oman",April to May,"23.07° N, 57.66° E"
9,Liwa Date Festival,"Liwa Oasis, UAE",July (Peak Heat),"23.13° N, 53.76° E"
10,Sadeh (Fire Festival),"Yazd, Iran",January 30,"31.89° N, 54.36° E"
11,Jerash Arts Festival,"Jerash, Jordan",July,"32.27° N, 35.89° E"
12,Baalbeck Int. Festival,"Baalbeck, Lebanon",July/August,"34.00° N, 36.20° E"
13,Sufi Whirling (Sema),"Konya, Turkey",Dec 7–17,"37.87° N, 32.49° E"
14,Kirkpinar Oil Wrestling,"Edirne, Turkey",July,"41.67° N, 26.56° E"
15,Beiteddine Art Fest,"Shouf, Lebanon",July,"33.69° N, 35.58° E"
16,Habil Al-Jabr (Harvest),"Lahij, Yemen",Post-Monsoon,"13.52° N, 44.98° E"
17,Souq Okaz (Poetry),"Taif, Saudi Arabia",August,"21.26° N, 40.41° E"
18,Muscat Festival,"Muscat, Oman",Jan/Feb,"23.58° N, 58.40° E"
19,Dhow Sailing Race,"Sir Bu Nair, UAE",May,"25.22° N, 54.22° E"
20,Gargaric (Children's),"Kuwait/Gulf Region",Ramadan Midpoint,"29.37° N, 47.97° E"
21,Yalda Night (Winter),"Regional (Iran/Iraq)",December 21,"35.68° N, 51.38° E"
22,Katara Traditional Boats,"Doha, Qatar",November,"25.35° N, 51.52° E"
23,Byblos Int. Festival,"Byblos, Lebanon",July,"34.12° N, 35.64° E"
24,Dubai Shopping Fest,"Dubai, UAE",Jan 1 – Feb 1,"25.20° N, 55.27° E"
25,Olive Harvest Ritual,"West Bank/Palestine",Oct to Nov,"32.22° N, 35.26° E"
26,Chaharshanbe Suri,"Tehran, Iran",March 17,"35.72° N, 51.33° E"
27,Fanoos (Lantern) Lighting,"Cairo, Egypt",March (Ramadan),"30.04° N, 31.23° E"
28,Mawlid al-Nabi,"Regional (e.g. Istanbul)",August 25,"41.00° N, 28.97° E"
29,Beit al-Zubair (Omani),"Muscat, Oman",November 18,"23.61° N, 58.59° E"
30,Global Village Assembly,"Dubai, UAE",Oct to April,"25.06° N, 55.30° E"
31,Guzelcamli (Zeus),"Kusadasi, Turkey",August,"37.71° N, 27.21° E"
32,Golab-giri (Rosewater),"Kashan, Iran",May to June,"33.98° N, 51.43° E"
33,Date Palm Festival,"Al-Ahsa, Saudi Arabia",August,"25.32° N, 49.59° E"
34,Mesopotamian Akitu,"Nohadra/Duhok, Iraq",April 1,"36.86° N, 42.98° E"
35,Camel Beauty Contest,"Al Dhafra, UAE",Dec to Jan,"23.65° N, 53.70° E"
36,Tirgan (Water Fest),"Mazandaran, Iran",July 4,"36.56° N, 53.05° E"
37,Abu Simbel Sun Fest,"Aswan, Egypt",Feb 22 & Oct 22,"22.33° N, 31.62° E"
38,Meskouta (Orange),"Maghreb/Mashriq",Spring,"33.57° N, 7.61° W"
39,Wafi (Falconry) Ritual,"Kuwait/Qatar",Winter Months,"25.27° N, 51.53° E"
40,Kurdish New Year (Newroz),"Erbil/Duhok, Iraq",March 21,"36.19° N, 44.00° E"
41,Sema Zen Ritual,"Istanbul, Turkey",Every Sunday,"41.02° N, 28.97° E"
42,Sham el-Nessim (Spring),"Regional, Egypt",April 13,"30.04° N, 31.23° E"
43,Zayandeh-rud Flow,"Isfahan, Iran",Hydrological (Varies),"32.65° N, 51.66° E"
44,Buraidah Camel Market,"Al Qassim, Saudi Arabia",Daily at Dawn,"26.32° N, 43.97° E"
45,Al-Janadriyah Camel Race,"Riyadh, Saudi Arabia",February,"24.96° N, 46.79° E"
46,Eid el-Burbara,"Levant Region",December 4,"33.89° N, 35.50° E"
47,Festival of Lights,"Jerusalem",June,"31.77° N, 35.21° E"
48,Gala-e-Zard (Yellow),"Mazar-i-Sharif",March/April,"36.70° N, 67.11° E"
49,Camel Trekking Al Marmoom,"Dubai, UAE",Winter Months,"24.81° N, 55.33° E"
50,Mehregan (Autumn),"Regional, Iran",October 2,"35.68° N, 51.38° E"
